
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.64345 avgloss:0.61237
AUC:0.737932 TPR_2:0.100130 TPR_3:0.023966 TPR_4:0.005165 validset
AUC:0.308908 TPR_2:0.000111 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.237093 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.231054 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.522029 TPR_2:0.003240 TPR_3:0.000000 TPR_4:0.000000 stargan
AUC:0.314750 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.321279 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.840800 TPR_2:0.105519 TPR_3:0.006559 TPR_4:0.001221 Deepfakes
AUC:0.736568 TPR_2:0.035162 TPR_3:0.001997 TPR_4:0.000432 FaceSwap
AUC:0.684291 TPR_2:0.046987 TPR_3:0.010277 TPR_4:0.002511 Face2Face
AUC:0.466308 TPR_2:0.021323 TPR_3:0.002093 TPR_4:0.000463 Test
epoch:000 batch:006000 loss:0.22287 avgloss:0.54613
AUC:0.848925 TPR_2:0.232055 TPR_3:0.047689 TPR_4:0.022626 validset
AUC:0.517191 TPR_2:0.000111 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.375284 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.444031 TPR_2:0.001111 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.744131 TPR_2:0.014238 TPR_3:0.001415 TPR_4:0.000685 stargan
AUC:0.540423 TPR_2:0.000111 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.522089 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.906401 TPR_2:0.274527 TPR_3:0.059106 TPR_4:0.024428 Deepfakes
AUC:0.805422 TPR_2:0.069479 TPR_3:0.002573 TPR_4:0.000234 FaceSwap
AUC:0.875108 TPR_2:0.214539 TPR_3:0.069674 TPR_4:0.041717 Face2Face
AUC:0.636676 TPR_2:0.063791 TPR_3:0.014752 TPR_4:0.007451 Test
epoch:000 batch:009000 loss:0.36293 avgloss:0.47682
AUC:0.937913 TPR_2:0.566152 TPR_3:0.336010 TPR_4:0.171614 validset
AUC:0.730968 TPR_2:0.001333 TPR_3:0.000111 TPR_4:0.000000 stylegan_celeba
AUC:0.550394 TPR_2:0.000445 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.591674 TPR_2:0.001555 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.858608 TPR_2:0.153060 TPR_3:0.029754 TPR_4:0.004609 stargan
AUC:0.752370 TPR_2:0.000780 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.746929 TPR_2:0.001782 TPR_3:0.000223 TPR_4:0.000000 pggan_v2
AUC:0.955422 TPR_2:0.582187 TPR_3:0.322500 TPR_4:0.151742 Deepfakes
AUC:0.940802 TPR_2:0.477515 TPR_3:0.221788 TPR_4:0.073761 FaceSwap
AUC:0.960681 TPR_2:0.666609 TPR_3:0.431835 TPR_4:0.253614 Face2Face
AUC:0.787539 TPR_2:0.209474 TPR_3:0.111838 TPR_4:0.053747 Test
epoch:001 batch:012000 loss:0.35008 avgloss:0.42136
AUC:0.960603 TPR_2:0.709024 TPR_3:0.512628 TPR_4:0.346179 validset
AUC:0.878966 TPR_2:0.020778 TPR_3:0.000222 TPR_4:0.000000 stylegan_celeba
AUC:0.753481 TPR_2:0.000333 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.776451 TPR_2:0.003110 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.861334 TPR_2:0.224250 TPR_3:0.065714 TPR_4:0.019851 stargan
AUC:0.894355 TPR_2:0.012486 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.884202 TPR_2:0.015145 TPR_3:0.000111 TPR_4:0.000000 pggan_v2
AUC:0.979176 TPR_2:0.788535 TPR_3:0.594997 TPR_4:0.428740 Deepfakes
AUC:0.950886 TPR_2:0.601393 TPR_3:0.384733 TPR_4:0.228428 FaceSwap
AUC:0.983828 TPR_2:0.833624 TPR_3:0.650961 TPR_4:0.473538 Face2Face
AUC:0.884742 TPR_2:0.277739 TPR_3:0.188527 TPR_4:0.127840 Test
epoch:001 batch:015000 loss:0.07383 avgloss:0.37872
