
Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.38441 avgloss:0.55977
AUC:0.837479 TPR_2:0.200808 TPR_3:0.061072 TPR_4:0.018509 validset
AUC:0.287462 TPR_2:0.000333 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.246573 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.252826 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.584956 TPR_2:0.000730 TPR_3:0.000000 TPR_4:0.000000 stargan
AUC:0.329913 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.329221 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.892634 TPR_2:0.182787 TPR_3:0.053105 TPR_4:0.017927 Deepfakes
AUC:0.795287 TPR_2:0.074229 TPR_3:0.013676 TPR_4:0.002735 FaceSwap
AUC:0.862835 TPR_2:0.214902 TPR_3:0.060892 TPR_4:0.011496 Face2Face
AUC:0.509079 TPR_2:0.052554 TPR_3:0.014186 TPR_4:0.003573 Test
epoch:000 batch:006000 loss:0.14664 avgloss:0.44042
AUC:0.928843 TPR_2:0.524842 TPR_3:0.302792 TPR_4:0.131906 validset
AUC:0.831580 TPR_2:0.003111 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.687574 TPR_2:0.000889 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.722572 TPR_2:0.002000 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.739105 TPR_2:0.023000 TPR_3:0.001004 TPR_4:0.000046 stargan
AUC:0.826833 TPR_2:0.000669 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.823491 TPR_2:0.001559 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.932699 TPR_2:0.503199 TPR_3:0.254673 TPR_4:0.145477 Deepfakes
AUC:0.945873 TPR_2:0.492253 TPR_3:0.224308 TPR_4:0.106224 FaceSwap
AUC:0.959279 TPR_2:0.641889 TPR_3:0.334262 TPR_4:0.160033 Face2Face
AUC:0.829890 TPR_2:0.185396 TPR_3:0.090484 TPR_4:0.045753 Test
epoch:000 batch:009000 loss:0.12989 avgloss:0.36552
AUC:0.959093 TPR_2:0.669922 TPR_3:0.444178 TPR_4:0.287030 validset
AUC:0.871159 TPR_2:0.002111 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.738622 TPR_2:0.000222 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.765073 TPR_2:0.000889 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.914162 TPR_2:0.295578 TPR_3:0.069365 TPR_4:0.017843 stargan
