
Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.58690 avgloss:0.59310
AUC:0.755842 TPR_2:0.105843 TPR_3:0.026582 TPR_4:0.008980 validset
AUC:0.404313 TPR_2:0.013000 TPR_3:0.002556 TPR_4:0.000889 stylegan_celeba
AUC:0.217056 TPR_2:0.001223 TPR_3:0.000111 TPR_4:0.000111 stylegan_ffhq
AUC:0.216407 TPR_2:0.001111 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.472569 TPR_2:0.000958 TPR_3:0.000000 TPR_4:0.000000 stargan
AUC:0.374232 TPR_2:0.012821 TPR_3:0.002118 TPR_4:0.000669 pggan_v1
AUC:0.380762 TPR_2:0.013363 TPR_3:0.003118 TPR_4:0.000445 pggan_v2
AUC:0.799266 TPR_2:0.119020 TPR_3:0.022501 TPR_4:0.005191 Deepfakes
AUC:0.749146 TPR_2:0.086988 TPR_3:0.022638 TPR_4:0.005524 FaceSwap
AUC:0.739310 TPR_2:0.082549 TPR_3:0.017491 TPR_4:0.002279 Face2Face
AUC:0.483673 TPR_2:0.036781 TPR_3:0.007886 TPR_4:0.001679 Test
epoch:000 batch:006000 loss:0.36542 avgloss:0.52308
AUC:0.856882 TPR_2:0.252142 TPR_3:0.114872 TPR_4:0.050446 validset
AUC:0.622025 TPR_2:0.000444 TPR_3:0.000111 TPR_4:0.000000 stylegan_celeba
AUC:0.493614 TPR_2:0.000111 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.544299 TPR_2:0.001333 TPR_3:0.000444 TPR_4:0.000444 faceapp
AUC:0.733727 TPR_2:0.008579 TPR_3:0.000548 TPR_4:0.000183 stargan
AUC:0.647508 TPR_2:0.000446 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.637935 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.901113 TPR_2:0.317102 TPR_3:0.156080 TPR_4:0.085077 Deepfakes
AUC:0.819165 TPR_2:0.112721 TPR_3:0.032355 TPR_4:0.007468 FaceSwap
AUC:0.882949 TPR_2:0.262643 TPR_3:0.109969 TPR_4:0.049280 Face2Face
AUC:0.698037 TPR_2:0.078203 TPR_3:0.033279 TPR_4:0.015828 Test
epoch:000 batch:009000 loss:0.36435 avgloss:0.45659
AUC:0.915718 TPR_2:0.451256 TPR_3:0.175182 TPR_4:0.077479 validset
AUC:0.820865 TPR_2:0.000556 TPR_3:0.000111 TPR_4:0.000000 stylegan_celeba
AUC:0.719100 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.727018 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.777426 TPR_2:0.023456 TPR_3:0.001780 TPR_4:0.000046 stargan
AUC:0.829282 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.819073 TPR_2:0.000668 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.926200 TPR_2:0.468844 TPR_3:0.231054 TPR_4:0.110505 Deepfakes
AUC:0.910251 TPR_2:0.312213 TPR_3:0.093394 TPR_4:0.021738 FaceSwap
AUC:0.956797 TPR_2:0.629754 TPR_3:0.393253 TPR_4:0.226427 Face2Face
AUC:0.831779 TPR_2:0.159548 TPR_3:0.079955 TPR_4:0.039857 Test
epoch:001 batch:012000 loss:0.30392 avgloss:0.40537
AUC:0.951086 TPR_2:0.613088 TPR_3:0.386786 TPR_4:0.260375 validset
AUC:0.791197 TPR_2:0.005111 TPR_3:0.000333 TPR_4:0.000000 stylegan_celeba
AUC:0.595875 TPR_2:0.000778 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.633230 TPR_2:0.001333 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.841011 TPR_2:0.104093 TPR_3:0.020125 TPR_4:0.003833 stargan
AUC:0.786220 TPR_2:0.001449 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.776984 TPR_2:0.003118 TPR_3:0.000111 TPR_4:0.000000 pggan_v2
AUC:0.965016 TPR_2:0.607689 TPR_3:0.372546 TPR_4:0.212833 Deepfakes
AUC:0.959958 TPR_2:0.566393 TPR_3:0.324468 TPR_4:0.156610 FaceSwap
AUC:0.972567 TPR_2:0.722725 TPR_3:0.519378 TPR_4:0.334930 Face2Face
AUC:0.813562 TPR_2:0.223632 TPR_3:0.137440 TPR_4:0.078690 Test
epoch:001 batch:015000 loss:0.06894 avgloss:0.36501
AUC:0.965351 TPR_2:0.685097 TPR_3:0.463085 TPR_4:0.287258 validset
AUC:0.920560 TPR_2:0.097778 TPR_3:0.002333 TPR_4:0.000000 stylegan_celeba
AUC:0.815676 TPR_2:0.003779 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.842475 TPR_2:0.008887 TPR_3:0.000000 TPR_4:0.000000 faceapp
