
Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.50928 avgloss:0.63539
AUC:0.699189 TPR_2:0.048135 TPR_3:0.011937 TPR_4:0.004383 validset

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.50928 avgloss:0.63539
AUC:0.699189 TPR_2:0.048135 TPR_3:0.011937 TPR_4:0.004383 validset
AUC:0.265775 TPR_2:0.000333 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.257074 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.288007 TPR_2:0.001555 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.503154 TPR_2:0.003423 TPR_3:0.000046 TPR_4:0.000000 stargan
AUC:0.295979 TPR_2:0.000111 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.306829 TPR_2:0.000334 TPR_3:0.000111 TPR_4:0.000000 pggan_v2
AUC:0.798424 TPR_2:0.109181 TPR_3:0.023766 TPR_4:0.001691 Deepfakes
AUC:0.653657 TPR_2:0.033273 TPR_3:0.004409 TPR_4:0.000306 FaceSwap
AUC:0.668500 TPR_2:0.030642 TPR_3:0.001118 TPR_4:0.000015 Face2Face
AUC:0.448600 TPR_2:0.019922 TPR_3:0.003272 TPR_4:0.000224 Test
epoch:000 batch:006000 loss:0.63900 avgloss:0.59333
AUC:0.770861 TPR_2:0.166726 TPR_3:0.063815 TPR_4:0.032402 validset
AUC:0.351174 TPR_2:0.001444 TPR_3:0.000111 TPR_4:0.000000 stylegan_celeba
AUC:0.247793 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.309482 TPR_2:0.005110 TPR_3:0.001111 TPR_4:0.000889 faceapp
AUC:0.515639 TPR_2:0.001643 TPR_3:0.000091 TPR_4:0.000000 stargan
AUC:0.357755 TPR_2:0.000892 TPR_3:0.000111 TPR_4:0.000111 pggan_v1
AUC:0.368606 TPR_2:0.000891 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.881242 TPR_2:0.215362 TPR_3:0.060091 TPR_4:0.035884 Deepfakes
AUC:0.779863 TPR_2:0.112145 TPR_3:0.023699 TPR_4:0.010941 FaceSwap
AUC:0.760928 TPR_2:0.055667 TPR_3:0.004485 TPR_4:0.001742 Face2Face
AUC:0.508054 TPR_2:0.043733 TPR_3:0.009967 TPR_4:0.005507 Test
epoch:000 batch:009000 loss:0.34965 avgloss:0.54102
AUC:0.863991 TPR_2:0.329816 TPR_3:0.187905 TPR_4:0.082494 validset
AUC:0.708272 TPR_2:0.002444 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.495159 TPR_2:0.000445 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.555564 TPR_2:0.003110 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.707864 TPR_2:0.013462 TPR_3:0.000639 TPR_4:0.000137 stargan
AUC:0.719687 TPR_2:0.004013 TPR_3:0.000111 TPR_4:0.000000 pggan_v1
AUC:0.714479 TPR_2:0.003229 TPR_3:0.000223 TPR_4:0.000111 pggan_v2
AUC:0.916723 TPR_2:0.385502 TPR_3:0.150771 TPR_4:0.061900 Deepfakes
AUC:0.845397 TPR_2:0.164096 TPR_3:0.020802 TPR_4:0.003167 FaceSwap
AUC:0.900743 TPR_2:0.367662 TPR_3:0.143660 TPR_4:0.070429 Face2Face
AUC:0.729321 TPR_2:0.104885 TPR_3:0.035134 TPR_4:0.015083 Test
epoch:001 batch:012000 loss:0.15285 avgloss:0.48876
AUC:0.918495 TPR_2:0.493401 TPR_3:0.255045 TPR_4:0.133173 validset
AUC:0.599520 TPR_2:0.000556 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.359077 TPR_2:0.000222 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.418393 TPR_2:0.000667 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.780242 TPR_2:0.074841 TPR_3:0.012230 TPR_4:0.001369 stargan
AUC:0.600188 TPR_2:0.000223 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.597414 TPR_2:0.001114 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.944638 TPR_2:0.510964 TPR_3:0.281262 TPR_4:0.131079 Deepfakes
AUC:0.912676 TPR_2:0.337982 TPR_3:0.140361 TPR_4:0.046301 FaceSwap
AUC:0.936793 TPR_2:0.589227 TPR_3:0.389232 TPR_4:0.228125 Face2Face
AUC:0.683216 TPR_2:0.168422 TPR_3:0.091454 TPR_4:0.045208 Test
epoch:001 batch:015000 loss:0.14843 avgloss:0.44386
AUC:0.960807 TPR_2:0.702024 TPR_3:0.491289 TPR_4:0.315626 validset
AUC:0.784943 TPR_2:0.009444 TPR_3:0.001444 TPR_4:0.000111 stylegan_celeba
AUC:0.577348 TPR_2:0.000778 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.637800 TPR_2:0.001777 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.901973 TPR_2:0.259207 TPR_3:0.080591 TPR_4:0.015972 stargan
AUC:0.773252 TPR_2:0.001672 TPR_3:0.000111 TPR_4:0.000000 pggan_v1
AUC:0.768304 TPR_2:0.001559 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.984309 TPR_2:0.791976 TPR_3:0.613542 TPR_4:0.397826 Deepfakes
AUC:0.958825 TPR_2:0.609671 TPR_3:0.408091 TPR_4:0.236382 FaceSwap
AUC:0.975161 TPR_2:0.753019 TPR_3:0.561342 TPR_4:0.338530 Face2Face
AUC:0.817990 TPR_2:0.269900 TPR_3:0.185014 TPR_4:0.109869 Test
epoch:001 batch:018000 loss:0.15907 avgloss:0.40786
AUC:0.962276 TPR_2:0.724329 TPR_3:0.520483 TPR_4:0.349131 validset
AUC:0.879783 TPR_2:0.059667 TPR_3:0.001000 TPR_4:0.000000 stylegan_celeba
AUC:0.681552 TPR_2:0.001667 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.712131 TPR_2:0.006665 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.929200 TPR_2:0.433943 TPR_3:0.132296 TPR_4:0.017296 stargan
AUC:0.887349 TPR_2:0.049387 TPR_3:0.000334 TPR_4:0.000000 pggan_v1
AUC:0.886029 TPR_2:0.047550 TPR_3:0.000891 TPR_4:0.000000 pggan_v2
AUC:0.974161 TPR_2:0.756666 TPR_3:0.540215 TPR_4:0.312573 Deepfakes
AUC:0.972577 TPR_2:0.732954 TPR_3:0.517464 TPR_4:0.306527 FaceSwap
AUC:0.977482 TPR_2:0.794374 TPR_3:0.555464 TPR_4:0.293343 Face2Face
AUC:0.877807 TPR_2:0.320319 TPR_3:0.194185 TPR_4:0.103304 Test
epoch:002 batch:021000 loss:0.23370 avgloss:0.37794
AUC:0.970703 TPR_2:0.755169 TPR_3:0.526376 TPR_4:0.280404 validset
AUC:0.863943 TPR_2:0.003889 TPR_3:0.000111 TPR_4:0.000000 stylegan_celeba
AUC:0.716582 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.744978 TPR_2:0.000667 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.926641 TPR_2:0.396112 TPR_3:0.122941 TPR_4:0.023411 stargan
AUC:0.884675 TPR_2:0.003233 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.869904 TPR_2:0.003341 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.982445 TPR_2:0.800447 TPR_3:0.579364 TPR_4:0.333103 Deepfakes
AUC:0.970733 TPR_2:0.722301 TPR_3:0.514261 TPR_4:0.299059 FaceSwap
AUC:0.977034 TPR_2:0.799890 TPR_3:0.613874 TPR_4:0.395532 Face2Face
AUC:0.881882 TPR_2:0.303320 TPR_3:0.203395 TPR_4:0.116789 Test
epoch:002 batch:024000 loss:0.62603 avgloss:0.35355
AUC:0.974342 TPR_2:0.786527 TPR_3:0.591016 TPR_4:0.394286 validset
AUC:0.933279 TPR_2:0.048333 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.819690 TPR_2:0.001000 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.833490 TPR_2:0.003999 TPR_3:0.000000 TPR_4:0.000000 faceapp
