
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.56774 avgloss:inf

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.56774 avgloss:0.48771
AUC:0.876274 TPR_2:0.333908 TPR_3:0.146629 TPR_4:0.078955 validset
AUC:0.576513 TPR_2:0.000889 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.481705 TPR_2:0.000333 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.516759 TPR_2:0.001111 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.803539 TPR_2:0.068818 TPR_3:0.011044 TPR_4:0.001187 stargan
AUC:0.633232 TPR_2:0.000446 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.629000 TPR_2:0.000557 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.951421 TPR_2:0.534391 TPR_3:0.237878 TPR_4:0.077650 Deepfakes
AUC:0.774161 TPR_2:0.119109 TPR_3:0.037646 TPR_4:0.006694 FaceSwap
AUC:0.911219 TPR_2:0.409046 TPR_3:0.171776 TPR_4:0.047596 Face2Face
AUC:0.697506 TPR_2:0.126078 TPR_3:0.050927 TPR_4:0.014792 Test
epoch:000 batch:006000 loss:0.05562 avgloss:0.36820
AUC:0.959998 TPR_2:0.694655 TPR_3:0.445110 TPR_4:0.273792 validset
AUC:0.725700 TPR_2:0.002000 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.551991 TPR_2:0.000111 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.587239 TPR_2:0.001111 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.808397 TPR_2:0.050609 TPR_3:0.007393 TPR_4:0.001552 stargan
AUC:0.731558 TPR_2:0.001338 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.735076 TPR_2:0.003118 TPR_3:0.000111 TPR_4:0.000000 pggan_v2
AUC:0.974630 TPR_2:0.737724 TPR_3:0.507140 TPR_4:0.327470 Deepfakes
AUC:0.955502 TPR_2:0.628637 TPR_3:0.311583 TPR_4:0.093502 FaceSwap
AUC:0.977858 TPR_2:0.790397 TPR_3:0.588254 TPR_4:0.382657 Face2Face
AUC:0.783106 TPR_2:0.246116 TPR_3:0.157165 TPR_4:0.089465 Test
epoch:000 batch:009000 loss:0.11015 avgloss:0.30297
AUC:0.959579 TPR_2:0.708752 TPR_3:0.499731 TPR_4:0.302913 validset
AUC:0.838665 TPR_2:0.027333 TPR_3:0.001556 TPR_4:0.000000 stylegan_celeba
AUC:0.668013 TPR_2:0.000778 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.712209 TPR_2:0.004443 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.916140 TPR_2:0.267193 TPR_3:0.047369 TPR_4:0.006024 stargan
AUC:0.839888 TPR_2:0.017057 TPR_3:0.000223 TPR_4:0.000000 pggan_v1
AUC:0.823570 TPR_2:0.016815 TPR_3:0.000334 TPR_4:0.000000 pggan_v2
AUC:0.978131 TPR_2:0.742180 TPR_3:0.502419 TPR_4:0.281821 Deepfakes
AUC:0.955856 TPR_2:0.640388 TPR_3:0.378237 TPR_4:0.171366 FaceSwap
AUC:0.984744 TPR_2:0.843480 TPR_3:0.686887 TPR_4:0.488663 Face2Face
AUC:0.857468 TPR_2:0.284407 TPR_3:0.179719 TPR_4:0.105319 Test
epoch:001 batch:012000 loss:0.09386 avgloss:0.26357
AUC:0.977638 TPR_2:0.780134 TPR_3:0.581356 TPR_4:0.409038 validset
AUC:0.931506 TPR_2:0.018111 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.863142 TPR_2:0.000000 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.869510 TPR_2:0.001111 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.929761 TPR_2:0.284899 TPR_3:0.064254 TPR_4:0.009629 stargan
AUC:0.931963 TPR_2:0.009253 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.925824 TPR_2:0.007906 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.985749 TPR_2:0.823801 TPR_3:0.592129 TPR_4:0.344177 Deepfakes
AUC:0.972175 TPR_2:0.685609 TPR_3:0.404294 TPR_4:0.166922 FaceSwap
AUC:0.981170 TPR_2:0.799933 TPR_3:0.599112 TPR_4:0.398711 Face2Face
AUC:0.932311 TPR_2:0.292292 TPR_3:0.184421 TPR_4:0.102160 Test
epoch:001 batch:015000 loss:0.04277 avgloss:0.23558
AUC:0.982934 TPR_2:0.825206 TPR_3:0.668937 TPR_4:0.479595 validset
AUC:0.947057 TPR_2:0.175333 TPR_3:0.035000 TPR_4:0.005667 stylegan_celeba
AUC:0.864422 TPR_2:0.003668 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.877795 TPR_2:0.013108 TPR_3:0.000889 TPR_4:0.000222 faceapp
AUC:0.959753 TPR_2:0.502213 TPR_3:0.130562 TPR_4:0.025008 stargan
AUC:0.947124 TPR_2:0.161650 TPR_3:0.024526 TPR_4:0.002007 pggan_v1
AUC:0.943736 TPR_2:0.129399 TPR_3:0.020824 TPR_4:0.001893 pggan_v2
AUC:0.989419 TPR_2:0.893025 TPR_3:0.723047 TPR_4:0.510905 Deepfakes
AUC:0.972228 TPR_2:0.738299 TPR_3:0.503464 TPR_4:0.282953 FaceSwap
AUC:0.988578 TPR_2:0.908306 TPR_3:0.783734 TPR_4:0.615079 Face2Face
AUC:0.943346 TPR_2:0.391667 TPR_3:0.246906 TPR_4:0.160415 Test
